Species,Leaf Area,Length of Midrib,Length of Petiole,Left Veins,Right Veins,Leaf Width
SN,48.178,9.39,0.03,8,10,7.27
SN,49.902,10.42,0.02,7,9,6.27
SN,33.865,8.33,0.02,6,6,6.22
SN,27.153,7.29,0.02,6,6,5.38
SN,33.088,8.34,0.01,8,8,5.21
SN,31.175,9.36,0.02,7,7,5.21
SN,41.931,9.36,0.03,7,8,7.29
SN,58.201,12.47,0.03,8,7,8.31
SN,28.729,8.34,0.02,9,8,5.4
SN,33.316,8.32,0.03,5,6,5.22
SN,63.976,12.47,0.02,7,8,7.56
SN,40.653,8.33,0.03,7,6,6.27
SN,40.993,9.36,0.02,8,7,6.24
SN,41.734,10.4,0.03,6,6,5.22
SN,45.035,10.41,0.03,6,7,6.25
SN,32.309,8.33,0.03,6,7,5.21
SN,53.15,10.41,0.02,7,7,6.26
SN,34.74,7.41,0.02,5,6,6.24
SN,29.364,7.31,0.03,7,7,5.2
SN,56.062,10.41,0.02,5,7,7.29
SN,45.952,10.4,0.02,6,9,6.26
SN,49.785,11.43,0.03,7,8,6.26
SN,53.127,11.43,0.03,7,7,7.27
SN,54.949,10.42,0.03,7,9,7.3
SN,37.707,9.35,0.02,7,8,5.22
SN,40.413,8.32,0.03,9,8,6.26
SN,37.006,9.38,0.02,7,7,5.23
SN,35.092,8.34,0.03,6,5,5.22
SN,32.538,8.35,0.02,8,5,5.21
SN,45.271,9.37,0.03,7,7,6.25
SN,39.265,8.32,0.03,8,9,6.26
SN,32.378,8.33,0.02,8,8,5.22
SN,35.405,7.28,0.03,7,7,6.26
SN,22.839,6.25,0.03,7,6,5.2
SN,36.427,7.29,0.03,6,7,6.26
SN,57.841,10.42,0.02,6,6,7.29
SN,34.443,9.38,0.02,6,7,5.3
SN,30.69,9.37,0.03,7,8,5.21
SN,35.313,8.35,0.02,9,8,6.25
SN,43.442,9.35,0.02,5,6,6.25
SN,34.001,9.35,0.02,7,8,5.2
SN,38.233,8.32,0.03,7,7,6.23
SN,40.071,9.36,0.03,7,6,5.21
SN,39.96,8.34,0.03,7,6,6.24
SN,53.404,11.44,0.03,7,7,6.76
SN,24.484,6.27,0.03,6,8,5.2
SN,33.631,9.36,0.02,9,6,5.22
SN,36.737,9.38,0.02,10,8,6.7
SN,47.209,11.43,0.02,8,10,6.25
SN,39.846,9.36,0.03,8,8,5.75
SN,28.546,7.28,0.03,7,6,5.2
SN,29.551,8.32,0.02,9,8,4.92
SN,69.849,12.47,0.02,5,8,7.75
SN,43.554,9.36,0.02,7,7,6.41
SN,39.376,8.32,0.03,7,8,5.5
SN,48.753,9.35,0.03,7,5,7.29
SN,28.668,8.33,0.02,8,7,4.19
SN,25.654,7.28,0.02,6,7,4.19
SN,54.269,10.39,0.02,8,7,7.3
SN,33.468,7.31,0.02,7,7,5.95
SN,29.154,8.32,0.02,7,5,5.05
SN,64.59,11.45,0.02,6,8,8.05
SN,29.365,7.3,0.03,7,7,5.31
SN,39.055,8.35,0.02,7,7,6
SN,44.779,9.37,0.02,7,7,6.62
SN,51.026,10.41,0.03,8,6,6.26
SN,27.298,7.28,0.02,6,6,5.44
SN,35.066,8.33,0.03,6,6,6.23
SN,39.47,9.35,0.02,8,8,6.25
SN,34.051,8.34,0.02,7,7,5.21
SN,50.425,11.43,0.03,10,8,6.24
SN,34.117,9.35,0.01,7,7,5.22
SN,38.616,8.34,0.02,6,5,6.08
SN,39.807,9.38,0.02,7,6,6.24
SN,48.892,10.4,0.02,9,9,6.26
SN,40.356,9.37,0.03,8,8,6.23
SN,62.532,11.45,0.02,8,9,7.5
SN,48.208,10.4,0.03,7,8,5.22
SN,37.104,9.37,0.03,9,7,5.23
SN,33.817,8.32,0.03,8,7,5.22
SN,39.524,9.39,0.02,8,8,5.7
SN,33.254,9.36,0.02,7,7,5.41
SN,31.105,8.34,0.02,7,7,5.2
SN,32.457,8.32,0.02,7,7,5.41
SN,49.913,9.38,0.02,9,7,6.98
SN,29.596,7.29,0.03,7,5,5.22
SN,34.07,8.34,0.02,6,7,5.75
SN,31.402,9.36,0.03,7,7,5.21
SN,43.902,10.39,0.03,10,8,6.53
SN,27.638,7.28,0.03,7,8,5.48
SN,42.246,10.38,0.03,8,7,5.22
SN,37.986,9.37,0.02,9,7,5.48
SN,37.24,8.35,0.03,8,8,5.33
SN,35.616,7.3,0.03,7,7,6.23
SN,47.907,10.42,0.03,10,9,6.49
SN,33.44,9.37,0.02,8,7,5.21
SN,46.347,10.4,0.02,6,7,6.59
SN,29.864,8.31,0.02,7,7,5.55
SN,30.891,7.28,0.03,6,6,7.27
SN,59.995,11.45,0.02,8,8,7.24
SN,39,8.33,0.03,7,8,6.24
SN,40.587,9.38,0.02,9,8,5.73
SN,35.802,8.34,0.03,9,7,5.6
SN,54.262,10.41,0.02,9,8,6.88
SN,34.106,9.36,0.03,8,8,5.31
SN,52.224,10.4,0.02,8,8,7.27
SN,37.534,8.34,0.03,7,8,6.24
SN,38.007,8.34,0.03,7,7,6.18
SN,60.216,10.4,0.02,8,8,7.71
SN,37.64,9.35,0.03,7,7,5.48
SN,44.909,9.35,0.03,8,6,6.3
SN,29.674,8.32,0.02,9,8,4.83
SN,83.239,13.51,0.03,10,9,8.48
SN,39.62,8.32,0.03,7,7,6.37
SN,40.36,9.35,0.03,6,8,6.24
SN,53.513,10.42,0.02,8,7,6.98
SN,36.593,9.37,0.02,7,8,5.64
SN,43.32,8.34,0.03,5,7,6.98
SN,34.22,9.38,0.02,9,9,5.17
SN,49.574,10.42,0.03,10,8,5.68
SN,40.028,9.36,0.02,9,8,5.82
SN,29.295,7.3,0.03,6,8,5.3
SN,32.303,7.31,0.02,7,8,5.64
SN,49.748,7.4,0.03,7,6,6.56
SN,43.192,9.48,0.03,8,8,6.01
SN,39.129,8.33,0.03,7,7,6.26
SN,38.219,9.37,0.03,8,6,6.23
SN,37.9,9.36,0.03,9,8,6.24
SN,62.708,11.44,0.02,9,9,7.92
SN,34.371,9.36,0.02,8,7,4.19
SN,38.302,8.34,0.02,7,7,5.65
SN,38.527,9.36,0.02,7,8,5.23
SN,41.775,10.4,0.02,8,8,5.73
SN,32.569,7.31,0.02,8,8,5.67
SN,42.071,9.38,0.03,8,9,5.58
SN,38.535,8.35,0.03,8,8,6.23
SN,31.35,7.3,0.02,6,7,6.23
SN,41.076,9.36,0.02,7,7,6.18
SN,58.966,11.45,0.03,9,9,7.29
SN,35.97,8.35,0.02,7,7,5.21
SN,36.439,9.38,0.02,6,8,5.2
SN,48.631,10.4,0.03,9,8,6.26
SN,36.872,9.36,0.03,8,9,5.22
SN,35.47,9.36,0.02,7,7,5.22
SN,46.684,9.37,0.03,9,8,6.27
SN,32.152,8.35,0.02,9,7,5.22
SN,36.709,8.33,0.02,6,7,6.25
SN,73.705,12.48,0.03,8,8,8.34
SN,50.795,9.42,0.02,8,7,6.91
SN,41.037,9.37,0.03,8,7,6.85
SN,41.349,9.38,0.03,8,7,6.07
SN,39.753,8.34,0.03,5,8,6.51
SN,42.377,10.39,0.03,9,8,6.24
SN,37.393,8.34,0.03,5,6,6.25
SN,53.287,10.4,0.03,8,9,7.08
SN,38.838,10.39,0.03,10,10,5.74
SN,33.675,7.31,0.02,8,7,6.24
SN,31.345,7.31,0.02,6,7,5.23
SN,30.351,7.33,0.02,9,6,5.56
SN,39.263,7.3,0.02,5,7,6.35
SN,57.846,10.42,0.02,8,8,7.27
SN,47.765,9.38,0.02,8,7,5.25
SN,43.191,9.38,0.03,8,7,5.22
SN,48.614,10.39,0.03,8,8,5.24
SN,51.269,11.45,0.03,8,7,6.24
SN,45.898,11.39,0.03,8,8,6.25
SN,42.133,10.4,0.03,9,9,5.23
SN,41.057,9.38,0.03,8,8,5.23
SN,39.84,9.36,0.02,8,8,6.23
SN,75.237,12.48,0.02,8,8,8.32
SN,49.151,10.4,0.02,9,9,6.24
SN,39.724,9.38,0.03,9,8,5.23
SN,44.261,9.37,0.03,8,9,6.25
SN,40.383,9.39,0.03,9,8,5.22
SN,35.022,8.34,0.03,8,7,5.22
SN,48.02,9.38,0.02,9,8,6.25
SN,51.345,10.42,0.02,8,8,7.27
SN,37.314,10.39,0.02,6,7,5.22
SN,44.35,9.37,0.02,8,9,7.28
SN,49.08,10.4,0.02,7,7,6.26
SN,39.532,9.36,0.03,8,8,5.23
SN,40.53,10.39,0.03,7,9,5.23
SN,38.725,8.32,0.03,8,9,6.25
SN,29.744,7.31,0.02,7,7,5.21
SN,32.02,9.35,0.02,9,9,5.03
SN,32.071,9.36,0.02,7,8,4.97
SN,42.256,9.37,0.03,9,8,6.53
SN,42.286,9.38,0.02,7,6,6.4
SN,56.435,11.45,0.03,9,10,7.28
SN,40.382,9.37,0.02,8,9,6.24
SN,37.9,8.34,0.02,8,7,6.04
SN,32.187,8.35,0.02,7,7,5.2
SN,38.112,8.35,0.03,6,6,6.23
SN,48.539,10.4,0.02,7,7,6.27
SN,43.515,10.41,0.02,9,7,6.24
SN,60.221,11.45,0.03,8,9,7.27
SN,44.636,10.42,0.03,9,10,6.26
SN,37.327,8.34,0.02,8,8,6.25
SN,40.658,9.38,0.03,9,7,6.24
SN,34.221,8.33,0.02,7,7,5.2
SN,38.483,8.34,0.03,8,8,5.23
SN,33.995,8.31,0.02,9,8,5.23
SN,42.071,10.39,0.02,8,9,6.23
SN,39.553,9.38,0.02,8,7,5.23
SN,55.772,10.47,0.03,8,8,7.28
SN,50.355,10.49,0.03,8,9,7.29
SN,40.907,10.39,0.03,9,9,5.24
SN,38.089,9.36,0.02,6,8,6.25
SN,50.416,10.41,0.02,9,8,6.27
SN,41.801,8.33,0.03,9,7,5.23
SN,42.692,9.36,0.03,9,8,5.23
SN,63.648,11.43,0.02,8,9,7.3
SN,35.194,8.33,0.02,8,8,5.22
SN,36.991,8.34,0.02,7,6,5.22
SN,61.713,11.45,0.03,7,8,7.28
SN,40.645,9.37,0.03,8,8,5.23
SN,41.979,9.36,0.03,7,7,6.26
SN,50.352,10.41,0.03,8,8,6.25
SN,44.064,10.4,0.03,8,8,7.27
SN,76.964,11.44,0.02,7,7,8.34
SN,50.26,10.41,0.02,7,7,6.25
SN,49.56,10.41,0.02,9,10,6.26
SN,36.05,8.32,0.03,7,7,5.24
SN,37.049,10.41,0.02,8,9,5.22
SN,34.239,8.32,0.02,7,8,5.21
SN,36.112,8.33,0.02,7,7,5.21
SN,37.004,8.32,0.03,7,8,6.25
SN,47.315,11.43,0.02,9,9,6.25
SN,42.62,10.42,0.02,9,8,6.24
SN,75.825,11.46,0.02,8,7,8.32
SN,36.176,8.32,0.03,7,9,5.24
SN,50.583,10.4,0.02,8,7,7.14
SN,33.696,9.35,0.02,8,8,5.51
SN,53.203,10.41,0.02,8,8,7.26
SN,55.007,11.43,0.03,7,8,6.26
SN,46.593,9.36,0.03,6,8,6.26
SN,37.023,8.32,0.03,8,8,6.24
SN,45.414,9.36,0.03,7,7,7.28
SN,34.692,9.35,0.02,7,7,5.54
SN,74.77,11.47,0.02,8,7,8.34
SN,41.65,8.35,0.02,6,7,6.25
SN,52.131,11.44,0.02,7,7,7.27
SN,39.977,9.38,0.03,7,7,5.23
SN,45.745,11.43,0.03,7,8,6.24
SN,38.272,8.33,0.03,6,7,6.25
SN,35.846,8.34,0.02,7,7,5.23
SN,37.545,9.38,0.02,6,6,6.24
SN,38.588,9.37,0.02,7,8,6.24
SN,45.014,9.39,0.03,8,6,6.25
SN,50.919,9.37,0.02,7,7,6.27
SN,39.244,8.32,0.02,5,6,6.26
SN,46.746,9.39,0.02,8,8,6.26
SN,44.841,10.4,0.03,9,8,6.24
SN,42.41,9.36,0.02,8,8,6.26
SN,43.486,9.38,0.03,7,6,5.23
SN,51.719,10.4,0.02,6,6,6.27
SN,46.718,10.39,0.02,7,7,6.26
SN,37.152,8.34,0.03,7,5,6.37
SN,38.327,9.37,0.03,7,7,6.24
SN,36.078,9.37,0.02,6,8,5.21
SN,40.936,10.39,0.02,5,8,5.23
SN,36.079,9.36,0.03,8,7,5.22
SN,41.343,9.36,0.02,7,8,6.25
SN,46.254,9.36,0.02,6,6,6.26
SN,54.875,9.41,0.02,8,6,7.29
SN,33.457,8.31,0.02,9,8,5.21
SN,34.55,8.34,0.02,8,7,5.22
SN,39.125,8.35,0.02,7,7,6.25
SN,43.198,9.38,0.02,7,7,6.25
SN,58.947,10.42,0.02,7,8,6.94
SN,57.21,10.49,0.02,7,6,7.28
SN,48.917,10.4,0.02,7,8,6.25
SN,37.102,10.39,0.02,7,8,5.21
SN,30.523,8.34,0.02,8,9,5.48
SN,44.753,9.37,0.02,7,7,6.24
SN,42.14,9.36,0.02,8,7,6.25
SN,49.601,10.41,0.02,8,9,6.93
SN,50.718,11.43,0.02,8,8,7.28
SN,35.634,9.35,0.02,7,7,6.2
SN,40.313,9.38,0.03,8,6,5.22
SN,48.539,10.41,0.02,9,8,6.26
SN,43.297,9.38,0.03,9,6,6.25
SN,35.207,9.36,0.02,6,6,5.22
SN,35.609,9.36,0.03,8,9,5.24
SN,41.162,9.38,0.02,7,9,5.22
SN,46.087,9.39,0.02,7,7,6.25
SN,44.714,9.38,0.02,7,7,6.27
SN,45.801,10.39,0.02,6,8,6.26
SN,46.521,9.38,0.02,6,7,6.27
SN,83.436,11.44,0.02,7,7,8.34
SN,44.349,7.37,0.02,7,7,6.23
SN,60.325,11.45,0.02,9,9,6.27
SN,45.733,10.41,0.03,8,10,5.23
SN,54.984,11.44,0.03,7,10,6.26
SN,39.007,9.38,0.02,7,9,5.21
SN,51.519,10.4,0.03,8,6,6.27
SN,35.872,8.33,0.02,6,6,6.23
SN,41.817,9.36,0.02,8,6,6.25
SN,43.615,10.42,0.03,8,7,6.23
SN,53.696,10.42,0.02,8,9,7.29
SN,49.827,10.4,0.03,8,7,6.28
SN,37.987,10.39,0.03,6,7,5.23
SN,36.072,9.36,0.03,7,7,6.23
SN,32.761,8.34,0.03,7,9,5.44
SN,45.651,9.39,0.03,8,8,6.26
SN,30.497,8.33,0.02,7,7,5.21
SN,54.852,11.44,0.03,7,8,6.32
SN,29.441,8.33,0.02,9,8,5.2
SN,43.265,9.38,0.02,7,8,6.64
SN,51.714,9.36,0.02,9,7,6.76
SN,56.015,9.38,0.03,11,7,7.13
SN,44.002,10.4,0.02,9,9,5.23
SN,34.388,9.35,0.02,8,8,5.2
SN,40.95,8.34,0.02,9,7,6.12
SN,55.538,10.39,0.02,7,7,7.28
SN,54.328,10.42,0.03,8,8,6.27
SN,37.592,8.34,0.03,9,7,6.14
SN,41.218,9.35,0.02,7,7,6.31
SN,56.53,12.48,0.03,8,7,7.27
SN,73.097,11.46,0.03,7,7,7.31
SN,38.86,9.36,0.02,7,7,5.46
SN,40.98,9.37,0.02,8,8,5.72
SN,50.786,10.41,0.03,9,10,6.24
SN,45.096,10.39,0.02,8,7,6.05
SN,42.648,10.4,0.02,8,9,5.82
SN,60.545,12.49,0.02,10,7,7.07
SN,33.052,8.32,0.03,8,8,5.82
SN,42.888,9.37,0.02,8,8,6.29
SN,55.064,11.44,0.03,8,10,7.21
SN,57.118,9.36,0.02,9,7,7.57
SN,42.885,9.37,0.02,8,8,5.83
SN,54.106,10.4,0.02,7,6,7.35
SN,48.419,10.4,0.03,6,8,6.92
SN,45.757,8.35,0.02,6,6,7.2
SN,48.317,10.41,0.03,12,8,5.99
SN,50.516,10.41,0.02,7,8,6.96
SN,46.155,10.42,0.02,8,8,6.25
SN,47.167,10.4,0.02,7,7,6.88
SN,42.091,9.47,0.02,5,7,6.77
SN,106.233,13.54,0.03,8,8,9.36
SN,53.723,10.4,0.03,8,8,6.26
SN,41.479,8.35,0.03,6,6,6.16
SN,44.473,9.38,0.03,7,6,6.25
SN,44.422,11.43,0.03,8,6,7.81
SN,36.602,9.36,0.02,9,7,5.21
SN,42.067,9.38,0.02,7,6,5.24
SN,45.697,9.38,0.03,6,7,7.07
SN,43.374,10.42,0.02,8,8,6.24
SN,40.243,10.4,0.03,7,8,6.07
SN,67.158,11.44,0.02,7,7,8.13
SN,43.836,9.37,0.02,6,6,6.23
SN,44.456,8.34,0.02,7,7,6.24
SN,43.99,9.36,0.03,9,7,6.23
SN,64.575,11.45,0.02,7,6,7.29
SN,48.711,10.42,0.03,7,7,6.26
SN,56.798,10.42,0.02,7,8,7.28
SN,44.765,9.38,0.03,9,8,6.26
SN,42.746,9.36,0.02,8,7,6.24
SN,31.394,8.34,0.02,8,6,5.3
SN,51.813,10.4,0.02,9,7,6.25
SN,44.385,10.39,0.02,8,7,6.23
SN,59.052,10.41,0.03,8,6,7.3
SN,42.906,10.39,0.02,9,5,5.22
SN,41.207,9.39,0.03,7,7,5.23
SN,37.218,9.36,0.02,8,9,5.21
SN,36.84,8.34,0.03,7,6,5.23
SN,45.843,11.44,0.03,6,7,6.24
SN,31.419,7.32,0.02,5,5,5.36
SN,37.906,9.36,0.02,7,6,6.22
SN,90.093,12.5,0.02,7,7,8.34
SN,46.359,8.34,0.03,8,6,6.27
SN,47.809,10.41,0.03,7,7,6.24
SN,42.194,9.38,0.03,7,8,5.22
SN,55.108,10.41,0.02,6,8,7.27
SN,34.166,8.33,0.02,6,6,5.45
SN,44.156,9.37,0.02,7,7,5.23
SN,43.873,9.37,0.03,6,7,6.25
SN,44.797,10.41,0.03,9,7,6.24
SN,40.774,8.37,0.02,8,8,6.24
SN,83.628,11.46,0.02,8,7,8.51
SN,60.302,10.42,0.03,7,7,6.26
SN,62.946,11.43,0.03,7,7,7.39
SN,64.649,11.44,0.03,8,8,7.34
SN,43.836,10.4,0.02,8,8,5.23
SN,50.898,10.41,0.03,7,7,6.31
SN,62.916,10.42,0.03,7,7,7.46
SN,47.061,9.35,0.03,7,6,7.28
SN,56.122,10.41,0.02,8,7,7.19
SN,45.176,10.39,0.03,8,7,6.26
